,id,language
1197,34440512,French
1198,34418014,French
1199,34197603,English
1200,34137620,French
1201,34073337,English
1202,34058312,French
1203,34051279,French
1204,34034054,English
1205,33874270,English
1206,33745462,French
1207,33385575,French
1208,33272762,English
1209,33211672,French
1210,32912464,English
1211,38061510,French
1212,38046034,English
1213,37982301,French
1214,37682575,French
1215,37640048,English
1216,6473817,French
1217,6244381,French
1218,6167936,French
1219,6018390,English
1220,5927515,English
1221,5789146,French
1222,5766257,English
1223,34253696,English
1224,34243979,French
1225,34215215,French
1226,34008067,English
1227,39690634,French
1228,39659011,French
1229,38234560,English
1230,30389227,English
1231,30146693,English
1232,30109210,French
1233,28478427,English
1234,28474082,English
1235,27900696,French
1236,27779304,French
1237,27751188,French
1238,27633625,English
1239,27629002,English
1240,27413365,French
1241,26856197,French
1242,26365271,English
1243,26344296,English
1244,26152079,French
1245,26052649,French
1246,26028368,English
1247,19280355,English
1248,19221486,French
1249,19185364,English
1250,19164327,French
1251,18925993,English
1252,18849507,French
1253,10531306,French
1254,10516595,French
1255,9331950,French
1256,9285807,English
1257,9183649,English
1258,9142663,French
1259,25770706,English
1260,25388057,English
1261,25312836,French
1262,25260058,English
1263,25250278,French
1264,25223511,French
1265,25043810,French
1266,24934389,English
1267,24830237,English
1268,24331872,English
1269,24180059,English
1270,23606895,English
1271,23464119,English
1272,23280512,English
1273,23249007,French
1274,23227744,French
1275,23181405,English
1276,33244230,English
1277,33210202,French
1278,33151137,French
1279,32303732,English
1280,32127923,English
1281,32080518,French
1282,31871629,English
1283,31870614,English
1284,31650324,English
1285,31574414,English
1286,31464408,French
1287,31020885,English
1288,30989487,French
1289,30702476,French
1290,30686264,English
1291,22950989,English
1292,22724363,French
1293,15405144,French
1294,15297775,English
1295,15034850,French
1296,26739361,French
1297,26705848,English
1298,26651300,French
1299,26628157,English
1300,2355392,English
1301,2275575,English
1302,1991805,English
1303,10326673,French
1304,9656750,French
1305,9562142,English
1306,9510873,English
1307,9375897,French
1308,9375654,French
1309,3660091,French
1310,36298600,English
1311,35832021,French
1312,35826190,French
1313,35661371,English
1314,35637193,English
1315,35424258,French
1316,24899957,French
1317,24821530,English
1318,4492275,English
1319,4488084,English
1320,3404798,English
1321,3376728,English
1322,3254324,English
1323,2625402,English
1324,2613106,English
1325,2327942,English
1326,2129446,French
1327,819381,English
1328,642234,English
1329,611320,English
1330,14196180,French
